strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Venezuela/Z3265/2021	EPI_ISL_3298768		IVIC	Laboratorio de Virología Molecular	Rossana C Jaspe et al
hCoV-19/Mexico/MEX-INER_IMSS_1604/2021	EPI_ISL_3155614		Laboratorio Central de Epidemiología (LCE)	Centro de Investigación en Enfermedades Infecciosas (CIENI), Instituto Nacional de Enfermedades Respiratorias (INER)	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Honduras/CM-USAFSAM-S4222/2021	EPI_ISL_3375858		US Air Force School of Aerospace Medicine	US Air Force School of Aerospace Medicine	Anthony Fries et al
hCoV-19/CostaRica/INC-0644/2021	EPI_ISL_2502742		AREA DE SALUD OSA	Inciensa, Instituto Costarricense de InvestigaciOn y Enseñanza en NutriciOn y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0646/2021	EPI_ISL_2502744		AREA DE SALUD SIQUIRRES	Inciensa, Instituto Costarricense de InvestigaciOn y Enseñanza en NutriciOn y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0800/2021	EPI_ISL_3037834		HOSPITAL GUAPILES [POCOCI/LIMON]	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/NewZealand/21MV0416/2021	EPI_ISL_2103200		Waikato Hospital	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/Guatemala/ASI4237/2021	EPI_ISL_3835415		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Guatemala/ASI4096/2021	EPI_ISL_3527803		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Guatemala/2226/2021	EPI_ISL_3275233		Laboratorio Nacional de Salud, Ministerio de Salud Publica y Asistencia Social	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	César Roberto Conde Pereira et al
hCoV-19/Guatemala/ASI4173/2021	EPI_ISL_3527826		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Guatemala/ASI4175/2021	EPI_ISL_3527827		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Australia/VPRL014/2020	EPI_ISL_455603		SA Pathology	VPRL	Beard et al
hCoV-19/SouthAfrica/NHLS-UCT-GS-0038/2020	EPI_ISL_640060		Groote Schuur Hospital wc GSH	NHLS/UCT	Arash Iranzadeh et al
hCoV-19/Germany/BY-ChVir-929-2/2020	EPI_ISL_450198		Department of Virology	Department of Virology	Boehmer et al
hCoV-19/Guinea/Conakry_IPG205/2020	EPI_ISL_2245787		Institut Pasteur de Guinée	Institut Pateur de Dakar	Grayo Solene et al
